,CarType,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
7/4/2015,1,6,,26,10,16,24,7,12,15,21,24,28,26,27,,,,,,,,,,,63,63,1,59,34,12,83,,63,,63,,,,,
7/4/2015,2,9,,8,8,15,11,4,5,11,18,15,17,20,22,,,,,,,,,,,41,41,3,44,24,5,58,,41,,41,,,,,
7/4/2015,3,3,,3,7,9,9,5,3,5,13,8,13,13,10,,,,,,,,,,,25,25,1,22,11,3,28,,25,,25,,,,,
7/4/2015,4,,,,,,,,,,2,2,,1,3,,,,,,,,,,,3,3,,,3,,,,3,,3,,,,,
7/4/2015,5,,,,,,,,,,2,2,1,1,2,,,,,,,,,,,3,3,,1,2,,2,,3,,3,,,,,
7/4/2015,2P,,,,,,,,,2,,,,,,,,4,4,4,4,4,4,4,,4,4,2,4,6,,6,4,6,4,6,4,4,4,6,4
7/5/2015,1,12,5,18,15,18,22,20,5,23,29,26,31,44,24,,,,,,,,,,3,64,64,4,55,33,5,86,,64,,64,,,,,
7/5/2015,2,5,2,1,6,13,16,13,1,10,17,13,15,16,17,,,,,,,,,,2,46,46,2,33,27,1,42,,46,,46,,,,,
7/5/2015,3,2,,8,8,5,9,7,5,10,9,9,13,13,17,,,,,,,,,,,29,29,2,23,18,5,33,,29,,29,,,,,
7/5/2015,4,,,,,,,,,,2,1,2,2,3,,,,,,,,,,,3,3,,1,2,,1,,3,,3,,,,,
7/5/2015,5,,,,,,,,,,4,,4,3,3,,,,,,,,,,,7,7,,,3,,,,7,,7,,,,,
7/5/2015,6,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
7/5/2015,2P,,,2,,,,,,,,,,,,,,,2,,4,4,,6,,2,2,,2,4,,6,6,3,,3,2,4,,4,
7/6/2015,1,5,1,8,11,14,11,11,7,4,20,17,18,22,19,,,,,,,,,,,42,42,1,35,28,7,53,,42,,42,,,,,
7/6/2015,2,6,,7,11,8,14,2,5,5,10,5,17,21,19,,,,,,,,,,,38,38,1,32,22,5,45,,38,,38,,,,,
7/6/2015,3,1,,3,4,6,8,7,6,3,8,10,8,13,7,,,,,,,,,,,23,23,,14,14,6,24,,23,,23,,,,,
7/6/2015,4,,,,,,,,,,2,1,2,1,2,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
7/6/2015,5,,,,,,,,,,2,2,6,1,3,,,,,,,,,,,3,3,,1,,,2,,3,,3,,,,,
7/6/2015,2P,,,,,,,,2,,,,,,,1,1,2,,,1,1,,2,,1,1,,,1,2,1,2,2,2,1,,,,2,
7/7/2015,1,9,2,12,13,11,11,14,4,16,19,14,23,29,21,,,,,,,,,,,52,52,3,41,25,4,55,,52,,52,,,,,
7/7/2015,2,1,2,4,9,9,10,8,3,6,12,14,13,17,11,,,,,,,,,,1,33,33,,24,19,3,39,,33,,33,,,,,
7/7/2015,3,4,2,6,3,4,2,5,7,7,10,7,6,8,13,,,,,,,,,,2,22,22,2,15,16,7,19,,22,,22,,,,,
7/7/2015,4,,,,,,,,,,,3,1,3,3,,,,2,,2,2,,,,2,2,,2,4,,3,,2,,2,2,,,2,
7/7/2015,5,,,,,,,,,,2,2,1,,1,,,,,,,,,,,2,2,,2,1,,2,,2,,2,,,,,
7/7/2015,6,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
7/7/2015,2P,,,,,,,,,2,,,,,,,,,2,,6,6,4,6,,,,,,4,,2,6,,,,2,2,,6,4
7/8/2015,1,7,6,12,9,7,12,15,13,7,17,15,32,24,24,,,,,,,,,,4,51,51,,33,26,13,47,,51,,51,,,,,
7/8/2015,2,3,,4,5,5,14,5,4,13,8,12,11,19,18,,,,,,,,,,,35,35,3,25,25,4,38,,35,,35,,,,,
7/8/2015,3,5,,11,4,5,11,4,5,7,11,15,13,10,13,,,,,,,,,,,24,24,1,24,14,5,34,,24,,24,,,,,
7/8/2015,4,,,,,,,,,,1,1,2,1,1,,,,,,,,,,,3,3,,1,1,,1,,3,,3,,,,,
7/8/2015,5,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
7/8/2015,6,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2015,2P,,,,,,,,,2,,,,,,,,,4,4,6,2,2,6,,,,2,,2,,,6,,,,4,,4,7,2
7/9/2015,1,6,,17,5,17,23,10,14,11,16,17,18,35,25,,,,,,,,,,,42,42,3,38,26,14,66,,42,,42,,,,,
7/9/2015,2,6,2,7,2,5,3,3,13,10,8,8,10,23,15,,,,,,,,,,1,31,31,1,16,16,13,26,,31,,31,,,,,
7/9/2015,3,1,,8,6,4,5,4,3,7,7,13,7,16,5,,,,,,,,,,,24,24,1,20,12,3,30,,24,,24,,,,,
7/9/2015,4,,,,,,,,,,1,2,2,1,2,,,,,,,,,,,4,4,,2,2,,2,,4,,4,,,,,
7/9/2015,5,,,,,,,,,,1,1,,1,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
7/9/2015,6,,,,,,,,,,,1,1,,2,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
7/9/2015,2P,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,2,,,,,,,2,2
7/10/2015,1,4,2,9,13,16,14,19,10,13,26,32,28,34,22,,,,,,,,,,2,56,56,5,35,35,10,55,,56,12,56,,,,,
7/10/2015,2,4,2,8,12,11,18,6,8,14,22,8,19,24,25,,,,,,,,,,1,46,46,2,42,30,8,57,,46,,46,,,,,
7/10/2015,3,3,,7,1,7,9,2,3,1,7,7,10,12,5,,,,,,,,,,,15,15,,15,8,3,25,,15,,15,,,,,
7/10/2015,4,,,,,,,,,,2,2,3,1,6,,,,,,,,,,,3,3,,2,3,,2,,3,,3,,,,,
7/10/2015,5,,,,,,,,,,2,2,3,,3,,,,,,,,,,,2,2,,2,1,,2,,2,,2,,,,,
7/10/2015,6,,,,,,,,,,,1,1,2,2,,,,,,,,,,,3,3,,1,2,,1,,3,,3,,,,,
7/10/2015,2P,2,,,,,,,,,,,,,,1,1,2,,,2,2,2,2,,,,,,,,1,2,,2,,,,,2,2
7/11/2015,1,8,,20,17,24,15,17,11,28,26,34,37,38,31,,,,,,,,,,,80,80,4,65,44,11,89,,80,,80,,,,,
7/11/2015,2,3,,5,7,7,12,8,13,13,8,13,26,27,12,,,,,,,,,,,50,50,2,32,23,13,44,,50,,50,,,,,
7/11/2015,3,2,,1,6,7,11,1,7,5,7,10,15,10,10,,,,,,,,,,,18,18,2,16,10,7,23,,18,,18,,,,,
7/11/2015,4,,,,,,,,,,4,3,1,2,2,,,,,,,,,,,3,3,,2,2,,3,,3,,3,,,,,
7/11/2015,5,,,,,,,,,,1,4,3,2,4,,,,,,,,,,,7,7,,4,4,,4,,7,,7,,,,,
7/11/2015,2P,,,,,,,,,2,,,,,,,,2,8,4,6,4,4,7,,2,1,2,2,7,,3,7,2,2,3,8,2,4,7,4
7/12/2015,1,5,2,18,10,9,16,14,20,12,23,19,38,26,28,,,,,,,,,,1,66,66,3,59,38,20,73,,66,,66,,,,,
7/12/2015,2,3,,5,5,5,11,9,8,5,9,15,14,16,13,,,,,,,,,,,35,35,1,28,21,8,40,,35,,35,,,,,
7/12/2015,3,4,,10,5,8,10,11,2,7,17,10,14,13,11,,,,,,,,,,,33,33,,29,16,2,39,,33,,33,,,,,
7/12/2015,4,,,,,,,,,,3,,3,2,2,,,,,,,,,,,3,3,,,1,,,,3,,3,,,,,
7/12/2015,5,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
7/12/2015,6,,,,,,,,,,1,1,,1,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
7/12/2015,2P,,,,,,,,2,,,,,,,,,,,,1,1,,3,,1,2,,1,2,2,2,3,2,,2,,2,,2,
7/13/2015,1,10,2,6,9,17,14,10,7,17,21,12,25,31,27,,,,,,,,,,,52,52,2,45,29,7,63,,52,,52,,,,,
7/13/2015,2,3,,5,7,12,10,6,4,8,14,13,9,25,16,,,,,,,,,,,35,35,1,24,20,4,42,,35,,35,,,,,
7/13/2015,3,1,2,3,2,5,8,1,1,6,8,9,4,10,6,,,,,,,,,,1,16,16,,9,7,1,18,,16,,16,,,,,
7/13/2015,4,,,,,,,,,,3,4,3,2,3,,,,,,,,,,,6,6,,4,3,,4,,6,,6,,,,,
7/13/2015,5,,,,,,,,,,2,3,3,2,,,,,,,,,,,,3,3,,2,,,3,,3,,3,,,,,
7/13/2015,6,,,,,,,,,,,1,2,1,,,,,,,,,,,,2,2,,1,,,1,,2,,2,,,,,
7/13/2015,2P,,,,,,,,,1,,,,,,,,,2,2,2,,,4,,2,2,1,2,3,,2,4,3,,3,2,2,2,2,
7/14/2015,1,7,2,8,10,11,7,13,9,12,17,17,22,24,22,,,,,,,,,,1,40,40,2,31,29,9,44,,40,,40,,,,,
7/14/2015,2,3,,,4,7,7,5,5,4,8,8,10,12,10,,,,,,,,,,,24,24,,14,14,5,22,,24,,24,,,,,
7/14/2015,3,4,2,2,3,3,8,5,2,6,8,7,10,13,6,,,,,,,,,,2,22,22,1,17,7,2,23,,22,,22,,,,,
7/14/2015,4,,,,,,,,,,4,6,4,8,3,,,,2,,2,2,,,,7,7,,3,5,,6,,7,,7,2,,,2,
7/14/2015,5,,,,,,,,,,4,4,3,1,2,,,,,,,,,,,5,5,,4,2,,4,,5,,5,,,,,
7/14/2015,6,,,,,,,,,,,1,3,1,1,,,,,,,,,,,2,2,,1,,,1,,2,,2,,,,,
7/14/2015,2P,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,,,2,,,2,,,,2,,,2,2
7/15/2015,1,6,4,8,4,10,5,10,4,8,12,12,19,21,8,,,,,,,,,,4,40,40,1,30,18,4,39,,40,,40,,,,,
7/15/2015,2,3,,8,1,6,5,8,5,5,7,12,13,13,12,,,,,,,,,,,16,16,1,18,11,5,27,,16,,16,,,,,
7/15/2015,3,5,,1,,1,3,4,1,5,7,6,8,4,6,,,,,,,,,,,15,15,1,12,8,1,13,,15,,15,,,,,
7/15/2015,4,,,,,,,,,,1,4,1,3,2,,,,,,,,,,,3,3,,1,2,,4,,3,,3,,,,,
7/15/2015,5,,,,,,,,,,1,1,2,,2,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
7/15/2015,2P,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
7/16/2015,1,2,2,6,16,11,16,6,8,19,23,21,21,30,13,,,,,,,,,,2,46,46,6,38,22,8,56,,46,,46,,,,,
7/16/2015,2,1,,12,3,4,5,3,4,9,9,6,11,13,17,,,,,,,,,,,25,25,1,21,18,4,30,,25,,25,,,,,
7/16/2015,3,1,,1,1,2,6,,2,8,6,7,6,10,10,,,,,,,,,,,20,20,,14,10,2,18,,20,,20,,,,,
7/16/2015,4,,,,,,,,,,,2,1,4,2,,,,,,,,,,,3,3,,1,2,,2,,3,,3,,,,,
7/16/2015,5,,,,,,,,,,,,3,3,,,,,,,,,,,,3,3,,,,,,,3,,3,,,,,
7/16/2015,2P,,,,2,,,,,,,,,,,,,2,,,4,4,,4,,,,,,,,4,4,,2,,,2,,4,
7/17/2015,1,8,2,23,17,21,22,16,11,21,35,23,32,40,26,,,,,,,,,,1,69,69,5,61,43,11,86,,69,,69,,,,,
7/17/2015,2,3,2,7,6,8,8,11,10,5,12,15,14,15,16,,,,,,,,,,1,34,34,,27,25,10,36,,34,,34,,,,,
7/17/2015,3,6,2,3,4,4,9,13,6,9,13,12,15,11,10,,,,,,,,,,2,32,33,1,20,19,6,26,,33,,32,,,,,
7/17/2015,4,,,,,,,,,,3,2,,2,1,,,,,,,,,,,1,1,,2,1,,2,,1,,1,,,,,
7/17/2015,5,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
7/17/2015,6,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
7/17/2015,2P,,,,,,,,,1,,,,,,,,,6,2,6,2,2,6,,,,1,,5,,,6,,,,6,,2,6,2
7/18/2015,1,17,,16,10,12,19,12,10,13,30,17,29,26,19,,,,,,,,,,,56,56,5,56,28,10,72,,56,,56,,,,,
7/18/2015,2,3,,6,4,11,13,7,6,8,13,12,10,22,23,,,,,,,,,,,36,36,1,28,27,6,43,,36,,36,,,,,
7/18/2015,3,1,,5,,5,10,5,4,6,6,8,4,11,14,,,,,,,,,,,22,21,,21,16,4,26,,21,,22,,,,,
7/18/2015,4,,,,,,,,,,3,3,2,2,2,,,,,,,,,,,4,4,,2,2,,3,,4,,4,,,,,
7/18/2015,5,,,,,,,,,,1,2,,2,2,,,,,,,,,,,1,1,,1,1,,2,,1,,1,,,,,
7/18/2015,2P,,,,,,,,2,1,,,,,,,,,2,4,2,,,4,,,2,1,,3,2,,4,2,,,2,,4,2,
7/19/2015,1,5,,8,9,12,16,12,10,13,22,11,28,30,17,,,,,,,,,,,58,58,3,41,31,10,55,,58,,58,,,,,
7/19/2015,2,8,,10,7,10,7,3,4,16,19,6,15,18,18,,,,,,,,,,,30,30,2,26,17,4,40,,30,,30,,,,,
7/19/2015,3,7,,4,5,5,3,6,7,5,6,10,10,17,5,,,,,,,,,,,23,23,,21,12,7,32,,23,,23,,,,,
7/19/2015,4,,,,,,,,,,4,5,3,4,4,,,,,,,,,,,5,5,,3,3,,5,,5,,5,,,,,
7/19/2015,5,,,,,,,,,,1,3,6,4,3,,,,,,,,,,,6,6,,3,2,,3,,6,,6,,,,,
7/19/2015,6,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2015,2P,,,2,,2,,,,1,,,,,,2,2,,4,2,6,4,2,6,,2,,1,,3,,2,6,4,,2,4,,2,6,2
7/20/2015,1,9,5,14,6,14,16,4,7,15,21,20,24,24,22,,,,,,,,,,4,49,49,4,42,26,11,59,,49,,49,,,,,
7/20/2015,2,4,,8,5,4,5,4,3,10,9,13,6,17,15,,,,,,,,,,,26,26,2,21,19,3,30,,26,,26,,,,,
7/20/2015,3,3,,3,7,9,4,2,2,6,6,11,12,11,10,,,,,,,,,,,22,22,1,16,9,2,25,,22,,22,,,,,
7/20/2015,4,,,,,,,,,,1,1,3,3,2,,,,,,,,,,,3,3,,,1,,1,,3,,3,,,,,
7/20/2015,5,,,,,,,,,,3,2,1,3,2,,,,,,,,,,,3,3,,2,2,,2,,3,,3,,,,,
7/20/2015,6,,,,,,,,,,,,1,,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,
7/20/2015,2P,,,,,,,,2,,,,,,,,,,4,,3,3,4,4,,1,1,,1,5,2,,4,2,,1,4,,,3,4
7/21/2015,1,3,1,12,7,10,20,12,8,13,25,19,14,31,18,,,,,,,,,,1,44,44,1,40,23,8,61,,44,,44,,,,,
7/21/2015,2,2,1,6,4,8,5,1,4,8,9,5,11,12,14,,,,,,,,,,1,19,19,2,17,11,4,26,,19,,19,,,,,
7/21/2015,3,2,,1,5,8,6,3,1,6,7,5,7,16,5,,,,,,,,,,,16,16,,13,6,1,21,,16,,16,,,,,
7/21/2015,4,,,,,,,,,,4,4,5,1,4,,,,,,,,,,,3,3,,3,1,,4,,3,,3,,,,,
7/21/2015,5,,,,,,,,,,2,1,1,1,4,,,,,,,,,,,3,3,,1,3,,1,,3,,3,,,,,
7/21/2015,6,,,,,,,,,,1,1,1,,,,,,,,,,,,,2,1,,1,,,1,,2,,2,,,,,
7/21/2015,2P,,,,,,,,,2,,,,,,,,2,4,6,4,4,2,6,,2,4,2,2,6,,5,6,5,2,5,4,4,6,5,2
7/22/2015,1,12,,7,7,13,17,7,10,14,21,21,23,20,22,,,,,,,,,,,46,46,4,41,25,10,58,,46,,46,,,,,
7/22/2015,2,2,,3,3,8,13,5,1,5,8,13,7,14,10,,,,,,,,,,,16,16,1,18,11,1,34,,16,,16,,,,,
7/22/2015,3,5,2,5,4,3,3,,4,6,10,3,8,8,11,,,,,,,,,,1,13,13,2,14,9,4,19,,13,,13,,,,,
7/22/2015,4,,,,,,,,,,2,1,3,2,,,,,,,,,,,,3,3,,1,,,1,,3,,3,,,,,
7/22/2015,5,,,,,,,,,,1,3,1,2,1,,,,,,,,,,,2,2,,2,1,,3,,2,,2,,,,,
7/22/2015,6,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,1,,,2,,,,,,,,,
7/22/2015,2P,2,,,,,,2,2,1,,,,,,2,2,2,4,2,4,4,2,4,,2,2,1,2,5,2,3,4,3,2,3,4,2,2,5,2
7/23/2015,1,10,4,10,12,19,17,14,14,15,28,21,29,30,25,,,,,,,,,,3,67,67,1,58,37,14,78,,67,,67,,,,,
7/23/2015,2,3,2,3,2,5,6,5,3,9,8,18,13,12,11,,,,,,,,,,1,27,27,2,27,11,3,33,,27,,27,,,,,
7/23/2015,3,10,,,4,3,5,2,5,5,6,8,12,6,10,,,,,,,,,,,20,20,2,22,10,5,28,,20,,20,,,,,
7/23/2015,4,,,,,,,,,,,2,5,4,2,,,,2,,2,2,,,,3,3,,2,2,,2,,3,,3,2,,,2,
7/23/2015,5,,,,,,,,,,2,2,2,2,1,,,,,,,,,,,3,3,,2,1,,3,,3,,3,,,,,
7/23/2015,6,,,,,,,,,,1,1,3,3,,,,,,,,,,,,3,3,,,,,1,,3,,3,,,,,
7/23/2015,2P,2,,4,,,,,,2,,,,,,,,,,,2,2,,4,,,,,,2,,3,4,,,,,2,,2,
7/24/2015,1,9,5,14,18,18,19,21,14,13,40,21,30,38,27,,,,,,,,,,,63,63,4,64,47,14,90,,63,,63,,,,,
7/24/2015,2,2,2,5,1,8,17,6,7,8,17,12,12,17,18,,,,,,,,,,1,31,31,2,26,20,7,37,,31,,31,,,,,
7/24/2015,3,5,,4,10,8,5,7,2,8,10,7,13,19,8,,,,,,,,,,,24,24,3,21,14,2,35,,24,,24,,,,,
7/24/2015,4,,,,,,,,,,3,2,2,4,2,,,,,,,,,,,4,4,,1,2,,2,,4,,4,,,,,
7/24/2015,5,,,,,,,,,,1,1,2,2,1,,,,,,,,,,,3,3,,,1,,,,3,,3,,,,,
7/24/2015,6,,,,,,,,,,2,3,2,2,1,,,,,,,,,,,3,3,,2,1,,3,,3,,3,,,,,
7/24/2015,2P,,,,,,,,,1,,,,,,,,,4,2,4,2,2,6,,2,2,1,2,5,,2,6,3,,3,4,2,2,4,2
7/25/2015,1,5,,12,6,17,21,18,8,18,15,22,34,34,21,,,,,,,,,,,60,60,3,45,28,8,68,,60,,60,,,,,
7/25/2015,2,6,2,3,3,7,11,3,3,7,17,12,20,12,11,,,,,,,,,,1,35,35,,29,15,3,35,,35,,35,,,,,
7/25/2015,3,2,,4,3,4,7,5,5,4,5,3,10,17,5,,,,,,,,,,,21,21,,14,10,5,21,,21,,21,,,,,
7/25/2015,4,,,,,,,,,,4,,3,,3,,,,,,,,,,,4,4,,,2,,,,4,,4,,,,,
7/25/2015,5,,,,,,,,,,1,2,2,2,3,,,,,,,,,,,1,1,,1,1,,2,,1,,1,,,,,
7/25/2015,6,,,,,,,,,,,,1,2,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
7/25/2015,2P,,,,,,,,2,1,,,,,,,,2,2,2,2,2,2,4,,2,2,1,2,3,2,3,4,3,2,3,2,2,2,3,2
7/26/2015,1,5,1,8,17,21,8,12,11,21,24,20,22,30,26,,,,,,,,,,,57,57,5,48,36,11,65,,57,,57,,,,,
7/26/2015,2,3,3,6,6,15,9,5,8,3,11,16,18,12,18,,,,,,,,,,2,38,38,2,32,21,8,41,,38,,38,,,,,
7/26/2015,3,1,,1,6,6,10,3,10,13,9,8,16,15,8,,,,,,,,,,,32,32,1,22,13,10,27,,32,,32,,,,,
7/26/2015,4,,,,,,,,,,1,3,1,1,2,,,,,,,,,,,3,3,,2,2,,3,,3,,3,,,,,
7/26/2015,5,,,,,,,,,,1,3,1,,1,,,,,,,,,,,2,2,,3,1,,3,,2,,2,,,,,
7/26/2015,6,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
7/26/2015,2P,2,,2,,,,2,,1,,,,,,1,1,4,4,4,8,8,4,8,,2,2,1,2,5,,6,8,3,4,3,4,2,4,10,4
7/27/2015,1,8,,12,9,11,10,7,9,22,18,12,20,35,16,,,,,,,,,,,48,48,4,34,24,9,54,,48,,48,,,,,
7/27/2015,2,7,,3,4,3,10,3,4,7,9,12,12,17,15,,,,,,,,,,,27,27,2,21,19,4,32,,27,,27,,,,,
7/27/2015,3,3,,2,5,2,8,1,6,9,5,6,13,10,12,,,,,,,,,,,19,19,2,17,13,6,23,,19,,19,,,,,
7/27/2015,4,,,,,,,,,,1,,1,2,2,,,,,,,,,,,3,3,,,2,,,,3,,3,,,,,
7/27/2015,5,,,,,,,,,,,2,3,2,2,,,,,,,,,,,1,1,,1,,,2,,1,,1,,,,,
7/27/2015,6,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7/27/2015,2P,,,,,,,,,4,,,,,,,,2,4,6,6,2,,6,,,,3,,3,,2,6,,2,,4,,6,6,
7/28/2015,1,4,2,5,10,12,13,13,10,14,12,21,19,26,27,,,,,,,,,,2,51,51,1,38,29,10,51,,51,,51,,,,,
7/28/2015,2,,2,6,4,2,10,4,3,4,9,6,16,9,11,,,,,,,,,,1,22,22,1,19,12,3,27,,22,,22,,,,,
7/28/2015,3,3,2,6,3,5,6,3,1,4,13,9,11,9,7,,,,,,,,,,2,18,18,1,16,5,1,20,,18,,18,,,,,
7/28/2015,4,,,,,,,,,,2,1,2,1,2,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
7/28/2015,5,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
7/28/2015,6,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
7/28/2015,2P,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,,,2,,,2,,,,2,,,2,2
7/29/2015,1,5,1,9,9,12,8,10,14,17,21,20,18,26,33,,,,,,,,,,1,45,45,2,40,34,14,53,,45,,45,,,,,
7/29/2015,2,5,,3,5,7,11,5,4,2,8,4,11,19,14,,,,,,,,,,,26,26,,21,18,4,31,,26,,26,,,,,
7/29/2015,3,4,,3,2,1,5,1,3,3,2,6,8,12,5,,,,,,,,,,,14,14,,10,8,3,16,,14,,14,,,,,
7/29/2015,4,,,,,,,,,,4,4,2,4,4,,,,,,,,,,,4,4,,3,3,,4,,4,,4,,,,,
7/29/2015,5,,,,,,,,,,2,2,2,1,2,,,,,,,,,,,3,2,,2,1,,2,,3,,3,,,,,
7/29/2015,6,,,,,,,,,,2,,,3,,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
7/29/2015,2P,,,,,,,2,,,,,,,,,,,,2,4,4,2,8,,,6,,,6,,2,8,6,,2,,2,2,5,2
7/30/2015,1,6,2,18,13,9,11,6,13,13,27,12,24,26,28,,,,,,,,,,2,48,48,3,45,29,13,61,,48,,48,,,,,
7/30/2015,2,5,,4,6,5,10,,5,9,11,15,10,17,13,,,,,,,,,,,29,29,2,26,17,5,36,,29,,29,,,,,
7/30/2015,3,2,,9,4,5,7,8,,7,17,10,5,17,6,,,,,,,,,,,20,20,,17,10,,29,,20,,20,,,,,
7/30/2015,4,,,,,,,,,,6,2,1,1,2,,,,,,,,,,,3,3,,2,2,,2,,3,,3,,,,,
7/30/2015,5,,,,,,,,,,3,2,,,4,,,,,,,,,,,3,4,,2,4,,2,,3,,3,,,,,
7/30/2015,6,,,,,,,,,,1,2,3,,3,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
7/30/2015,2P,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
7/31/2015,1,12,2,17,12,15,22,24,16,11,25,26,35,42,23,,,,,,,,,,1,67,67,3,58,41,16,84,,67,,67,,,,,
7/31/2015,2,6,,2,8,14,11,10,7,10,15,20,19,24,18,,,,,,,,,,,46,46,3,34,28,7,47,,46,,46,,,,,
7/31/2015,3,2,,5,5,6,8,1,6,3,9,14,8,18,5,,,,,,,,,,,19,19,1,12,10,6,26,,19,,19,,,,,
7/31/2015,4,,,,,,,,,,2,2,2,1,1,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
7/31/2015,5,,,,,,,,,,2,5,2,2,1,,,,,,,,,,,3,3,,3,1,,5,,3,,3,,,,,
7/31/2015,6,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
7/31/2015,2P,,,2,,,,,,1,,,,,,,,,2,2,3,1,2,6,,3,3,1,3,4,,6,6,5,,4,2,4,2,3,2
8/1/2015,1,15,,26,15,31,31,25,11,31,42,44,44,67,57,,,,4,4,4,,,4,,112,111,10,84,70,11,124,4,112,,112,4,,4,4,
8/1/2015,1,2,,15,10,16,16,14,7,17,24,23,16,29,23,,,,,,,,,,,53,53,3,44,31,7,63,,53,,53,,,,,
8/1/2015,2,11,,7,4,14,9,4,2,6,6,14,16,19,18,,,,,,,,,,,32,32,2,26,18,2,40,,32,,32,,,,,
8/1/2015,3,2,,4,1,1,6,7,2,6,7,2,8,10,12,,,,,,,,,,,19,18,3,11,15,2,16,,19,,19,,,,,
8/1/2015,4,,,,,,,,,,3,1,2,4,2,,,,,,,,,,,4,4,,1,2,,1,,4,,4,,,,,
8/1/2015,5,,,,,,,,,,2,2,1,4,2,,,,,,,,,,,3,3,,1,2,,2,,3,,3,,,,,
8/1/2015,6,,,,,,,,,,,2,1,1,,,,,,,,,,,,1,1,,1,,,2,,1,,1,,,,,
8/1/2015,2P,,,,,,,,,2,,,,,,,,,4,4,4,,,4,,,,2,,2,,,4,,,,4,,4,4,
8/2/2015,1,4,,10,19,20,15,8,20,21,21,29,29,44,19,,,,,,,,,,,54,55,5,40,25,20,70,,54,,54,,,,,
8/2/2015,2,5,,4,4,9,8,1,6,11,6,8,11,19,14,,,,,,,,,,,23,23,2,18,12,6,29,,23,,23,,,,,
8/2/2015,3,5,,4,7,3,4,4,6,,10,6,10,12,9,,,,,,,,,,,17,18,,13,10,6,19,,17,,17,,,,,
8/2/2015,4,,,,,,,,,,5,4,5,4,2,,,,,,,,,,,5,5,,4,1,,4,,5,,5,,,,,
8/2/2015,5,,,,,,,,,,2,2,1,1,,,,,,,,,,,,2,1,,2,,,2,,1,,2,,,,,
8/2/2015,6,,,,,,,,,,,,2,1,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
8/2/2015,2P,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
8/3/2015,1,9,2,12,13,14,11,6,15,5,15,20,24,27,20,,,,,,,,,,2,47,46,1,41,25,15,60,,47,,47,,,,,
8/3/2015,2,3,,5,,6,6,2,4,10,8,10,10,12,12,,,,,,,,,,,26,26,2,20,16,4,26,,26,,26,,,,,
8/3/2015,3,3,,1,5,5,5,3,1,6,11,9,10,7,6,,,,,,,,,,,14,14,2,15,7,1,19,,14,,14,,,,,
8/3/2015,4,,,,,,,,,,2,2,4,,4,,,,,,,,,,,4,4,,2,2,,2,,4,,4,,,,,
